Year,Month,PublicHealthRegion,County,Animal,TestResult
2023,January,6,Montgomery,Bat,Negative
2023,January,6,Montgomery,Dog,Negative
2023,January,6,Montgomery,Dog,Negative
2023,January,6,Montgomery,Dog,Negative
2023,January,6,Montgomery,Dog,Negative
2023,January,6,Montgomery,Dog,Negative
2023,January,6,Montgomery,Dog,Negative
2023,January,6,Montgomery,Dog,Negative
2023,January,6,Montgomery,Cat,Negative
2023,January,6,Montgomery,Cat,Negative
2023,January,6,Montgomery,Cat,Negative
2023,January,2,Montague,Dog,Negative
2023,January,2,Montague,Dog,Negative
2023,January,2,Montague,Cat,Negative
2023,January,9,Midland,Dog,Negative
2023,January,7,McLennan,Raccoon,Negative
2023,January,7,McLennan,Dog,Negative
2023,January,7,McLennan,Cat,Negative
2023,January,9,McCulloch,Dog,Negative
2023,January,8,Maverick,Cat,Negative
2023,January,6,Matagorda,Cat,Negative
2023,January,7,Madison,Bat,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Dog,Negative
2023,January,1,Lubbock,Cat,Negative
2023,January,1,Lubbock,Cat,Negative
2023,January,1,Lubbock,Cat,Negative
2023,January,1,Lubbock,Cat,Negative
2023,January,1,Lubbock,Cat,Negative
2023,January,7,Llano,Skunk,Negative
2023,January,7,Llano,Dog,Negative
2023,January,7,Limestone,Dog,Negative
2023,January,7,Limestone,Other,Negative
2023,January,6,Liberty,Cat,Negative
2023,January,7,Lampasas,Cat,Negative
2023,January,7,Lampasas,Cat,Negative
2023,January,4,Lamar,Dog,Negative
2023,January,11,Kleberg,Dog,Negative
2023,January,8,Kerr,Coyote,Negative
2023,January,8,Kerr,Cat,Negative
2023,January,8,Kerr,Cat,Negative
2023,January,8,Kerr,Cat,Negative
2023,January,8,Kendall,Dog,Negative
2023,January,8,Kendall,Dog,Negative
2023,January,3,Kaufman,Bat,Negative
2023,January,3,Kaufman,Dog,Negative
2023,January,3,Kaufman,Dog,Negative
2023,January,3,Kaufman,Bovine,Negative
2023,January,7,Coryell,Dog,Negative
2023,January,7,Coryell,Dog,Negative
2023,January,7,Coryell,Cat,Negative
2023,January,1,Dallam,Bovine,Negative
2023,January,3,Dallas,Fox,Negative
2023,January,3,Dallas,Raccoon,Negative
2023,January,3,Dallas,Raccoon,Negative
2023,January,3,Dallas,Raccoon,Negative
2023,January,3,Dallas,Raccoon,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Dog,Negative
2023,January,3,Dallas,Cat,Negative
2023,January,3,Dallas,Cat,Negative
2023,January,3,Dallas,Cat,Negative
2023,January,3,Dallas,Cat,Negative
2023,January,3,Dallas,Cat,Negative
2023,January,3,Dallas,Cat,Negative
2023,January,3,Denton,Bat,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Dog,Negative
2023,January,3,Denton,Cat,Negative
2023,January,3,Denton,Cat,Negative
2023,January,11,Duval,Dog,Negative
2023,January,2,Eastland,Dog,Negative
2023,January,2,Eastland,Cat,Negative
2023,January,9,Ector,Dog,Negative
2023,January,9,Ector,Equine,Negative
2023,January,8,Edwards,Bovine,Negative
2023,January,10,El Paso,Dog,Negative
2023,January,10,El Paso,Dog,Negative
2023,January,10,El Paso,Dog,Negative
2023,January,10,El Paso,Dog,Negative
2023,January,10,El Paso,Dog,Negative
2023,January,10,El Paso,Dog,Negative
2023,January,10,El Paso,Dog,Negative
2023,January,10,El Paso,Cat,Negative
2023,January,10,El Paso,Cat,Negative
2023,January,10,El Paso,Cat,Negative
2023,January,3,Ellis,Raccoon,Negative
2023,January,3,Ellis,Dog,Negative
2023,January,3,Ellis,Dog,Negative
2023,January,3,Ellis,Dog,Negative
2023,January,3,Ellis,Dog,Negative
2023,January,3,Ellis,Dog,Negative
2023,January,3,Ellis,Dog,Negative
2023,January,3,Ellis,Cat,Negative
2023,January,3,Ellis,Cat,Negative
2023,January,3,Ellis,Equine,Negative
2023,January,3,Erath,Dog,Negative
2023,January,3,Erath,Cat,Negative
2023,January,6,Fort Bend,Raccoon,Negative
2023,January,6,Fort Bend,Dog,Negative
2023,January,6,Fort Bend,Dog,Negative
2023,January,6,Fort Bend,Dog,Negative
2023,January,6,Fort Bend,Dog,Negative
2023,January,6,Fort Bend,Cat,Negative
2023,January,6,Fort Bend,Cat,Negative
2023,January,6,Fort Bend,Cat,Negative
2023,January,6,Fort Bend,Cat,Negative
2023,January,6,Fort Bend,Bovine,Negative
2023,January,6,Galveston,Bat,Negative
2023,January,6,Galveston,Bat,Negative
2023,January,6,Galveston,Bat,Negative
2023,January,6,Galveston,Dog,Negative
2023,January,6,Galveston,Dog,Negative
2023,January,6,Galveston,Dog,Negative
2023,January,6,Galveston,Dog,Negative
2023,January,6,Galveston,Dog,Negative
2023,January,6,Galveston,Dog,Negative
2023,January,6,Galveston,Cat,Negative
2023,January,8,Goliad,Dog,Negative
2023,January,8,Goliad,Equine,Negative
2023,January,3,Grayson,Cat,Negative
2023,January,3,Grayson,Cat,Negative
2023,January,4,Gregg,Bat,Negative
2023,January,4,Gregg,Bat,Negative
2023,January,4,Gregg,Bat,Negative
2023,January,4,Gregg,Raccoon,Negative
2023,January,4,Gregg,Dog,Negative
2023,January,4,Gregg,Dog,Negative
2023,January,4,Gregg,Dog,Negative
2023,January,4,Gregg,Dog,Negative
2023,January,4,Gregg,Dog,Negative
2023,January,4,Gregg,Dog,Negative
2023,January,7,Grimes,Cat,Negative
2023,January,7,Grimes,Cat,Negative
2023,January,8,Guadalupe,Raccoon,Negative
2023,January,8,Guadalupe,Dog,Negative
2023,January,8,Guadalupe,Dog,Negative
2023,January,8,Guadalupe,Dog,Negative
2023,January,8,Guadalupe,Dog,Negative
2023,January,8,Guadalupe,Dog,Negative
2023,January,8,Guadalupe,Cat,Negative
2023,January,7,Hamilton,Dog,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Bat,Negative
2023,January,6,Harris,Raccoon,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Dog,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Cat,Negative
2023,January,6,Harris,Other,Negative
2023,January,1,Hartley,Dog,Negative
2023,February,4,Anderson,Dog,Negative
2023,February,4,Anderson,Dog,Negative
2023,February,5,Angelina,Dog,Negative
2023,February,5,Angelina,Cat,Negative
2023,February,5,Angelina,Cat,Negative
2023,February,8,Atascosa,Skunk,Positive
2023,February,8,Bandera,Dog,Negative
2023,February,8,Bandera,Dog,Negative
2023,February,8,Bandera,Dog,Negative
2023,February,7,Bastrop,Raccoon,Negative
2023,February,7,Bastrop,Raccoon,Negative
2023,February,7,Bastrop,Dog,Negative
2023,February,7,Bastrop,Dog,Negative
2023,February,7,Bastrop,Dog,Negative
2023,February,7,Bastrop,Cat,Negative
2023,February,3,Wise,Bovine,Negative
2023,February,8,Wilson,Cat,Negative
2023,February,7,Williamson,Bat,Negative
2023,February,7,Williamson,Bat,Negative
2023,February,7,Williamson,Raccoon,Negative
2023,February,7,Williamson,Dog,Negative
2023,February,7,Williamson,Dog,Negative
2023,February,7,Williamson,Dog,Negative
2023,February,7,Williamson,Dog,Negative
2023,February,7,Williamson,Dog,Negative
2023,February,7,Williamson,Dog,Negative
2023,February,7,Williamson,Dog,Negative
2023,February,7,Williamson,Cat,Negative
2023,February,7,Williamson,Other,Negative
2023,February,2,Wichita,Cat,Negative
2023,February,2,Wichita,Dog,Negative
2023,February,2,Wichita,Dog,Negative
2023,February,2,Wichita,Dog,Negative
2023,February,2,Nolan,Dog,Negative
2023,February,11,Nueces,Cat,Negative
2023,February,11,Nueces,Cat,Negative
2023,February,11,Nueces,Cat,Negative
2023,February,11,Nueces,Cat,Negative
2023,February,11,Nueces,Cat,Negative
2023,February,11,Nueces,Dog,Negative
2023,February,11,Nueces,Dog,Negative
2023,February,11,Nueces,Dog,Negative
2023,February,11,Nueces,Dog,Negative
2023,February,11,Nueces,Dog,Negative
2023,February,11,Nueces,Dog,Negative
2023,February,11,Nueces,Dog,Negative
2023,February,11,Nueces,Bat,Negative
2023,February,11,Nueces,Bat,Negative
2023,February,1,Ochiltree,Dog,Negative
2023,February,1,Ochiltree,Cat,Negative
2023,February,3,Palo Pinto,Cat,Negative
2023,February,6,Wharton,Dog,Negative
2023,February,7,Washington,Cat,Negative
2023,February,7,Washington,Cat,Negative
2023,February,6,Waller,Dog,Negative
2023,February,6,Waller,Bovine,Negative
2023,February,6,Walker,Cat,Negative
2023,February,6,Walker,Other,Negative
2023,February,8,Victoria,Dog,Negative
2023,February,8,Victoria,,Negative
2023,February,8,Victoria,Cat,Negative
2023,February,4,Van Zandt,Equine,Negative
2023,February,7,Blanco,Bat,Negative
2023,February,3,Parker,Dog,Negative
2023,February,3,Parker,Cat,Negative
2023,February,3,Parker,Equine,Negative
2023,February,3,Parker,Other,Negative
2023,February,5,Polk,Cat,Negative
